speaker,speaker_id,コンテンツ数
デレク・パラヴィチーニ、アダム・オッケルフォード,806,1
エレノア・ロングデン,807,1
サキ・マフンディクワ,808,1
ジンソップ・リー,809,1
ダニエル・H・コーエン,810,1
ビアディーマン,811,1
ピーター・ヴァン・マネン,812,1
ジュリー・テイモア,813,1
エリ・ビア,814,1
バスティアン・シェーファー,815,1
タニア・ルナ,816,1
ポール・ケンプ=ロバートソン,817,1
ロベルト・ダンジェロ + フランチェスカ・フェデリ,818,1
ケイト・ストーン,819,1
ジョン・サール,820,1
トム･サム,821,1
"ミランダ,ジェニー",822,1
ギャヴィン・プレイター=ピニー,823,1
バーニー・クラウス,824,1
アル・バーナキオ,825,1
ジャック・アンドレイカ,826,1
ダイアナ・ライス,827,1
スリーピーマン・バンジョー・ボーイズ,828,2
ジンハ・リー,829,1
エリック・X.・リー,830,1
ロドニー・ブルックス,831,1
マイケル・アーチャー,832,1
ボブ・マンコフ,833,1
ピーター・アッティア,834,1
レズリー・ヘイズルトン,835,2
カミール・シーマン,836,2
ポール・フォレロス,837,1
ジェセフ・キム,838,1
ジュリアナ・ロティッチ,839,1
ディディエ・ソネット,840,1
マナル・アルシャリフ,841,1
ダニエル・スアレース,842,1
ゲオルギオス・パパンドレウ,843,1
アンドリュー・マカフィー,844,2
マーティン・ヴィルヌーブ,845,1
デニーズ・ハージング,846,1
アナス・アレメヤウ・アナス,847,1
アレックス・ラスキー,848,1
リサ・ブー,849,1
ヘンドリック・ポイナー,850,1
ジャクソン・カッツ,851,1
パオラ・アントネッリ,852,1
ジヘ・パク,853,1
アラスタ・パーヴィン,854,1
ジュディ・マクドナルド・ジョンストン,855,1
フィル・ハンセン,856,1
ピーター・シンガー,857,1
セルゲイ・ブリン,858,1
ジェイ・シルバー,859,1
リウ・ボーリン,860,1
マリア・ベザイティス,861,1
メグ・ジェイ,862,1
ケン・ロビンソン,863,3
アンジェラ・リー・ダックワース,864,1
ジェフリー・カナダ,865,1
マルコム・ロンドン,866,1
パール・アレドンド,867,1
ラムジー・ムサラム,868,1
リタ・ピアソン,869,1
ティモシー・バルティック,870,1
